Analyzer,Size_Date,Photo_date,Week,Treatment,Temp,pH,Trt_Rep,Photo_Rep,File_name,Juvenile_No,Area,Mean,Min,Max
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,1,AA1_x4_1,1,1780,68.047,40,115
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,1,AA1_x4_1,2,637,71.141,39,136
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,1,AA1_x4_1,3,2403,64.845,30,112
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,1,AA1_x4_1,4,1076,53.472,25,132
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,1,AA1_x4_1,5,1026,60.172,34,119
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,2,AA1_x4_2,1,882,82.533,43,144
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,2,AA1_x4_2,2,662,80.34,38,144
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,2,AA1_x4_2,3,336,65.113,30,109
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,2,AA1_x4_2,4,489,84.738,53,131
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,2,AA1_x4_2,5,412,79.33,40,138
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,2,AA1_x4_2,6,482,76.77,34,125
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,2,AA1_x4_2,7,1124,81.254,47,133
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,3,AA1_x4_3,1,537,71.704,39,125
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,3,AA1_x4_3,2,513,75.203,32,122
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,3,AA1_x4_3,3,565,85.29,46,130
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,3,AA1_x4_3,4,420,64.164,29,108
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,3,AA1_x4_3,5,548,59.651,34,104
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,3,AA1_x4_3,6,490,56.243,28,106
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,3,AA1_x4_3,7,813,40.969,22,104
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,3,AA1_x4_3,8,318,46.821,25,78
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,3,AA1_x4_3,9,533,51.52,21,83
ARK,4/28/20,10/19/17,Week3,AA,cold,low,1,3,AA1_x4_3,10,464,60.278,30,122
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,1,AA2_x4_1,1,440,68.534,41,123
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,1,AA2_x4_1,2,979,72.892,44,139
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,1,AA2_x4_1,3,804,72.966,38,139
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,1,AA2_x4_1,4,2101,74.053,39,141
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,1,AA2_x4_1,5,1427,81.272,41,159
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,2,AA2_x4_2,1,1227,72.49,42,128
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,2,AA2_x4_2,2,524,57.626,37,116
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,2,AA2_x4_2,3,423,56.038,33,121
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,2,AA2_x4_2,4,480,62.225,42,116
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,2,AA2_x4_2,5,1401,62.217,29,115
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,2,AA2_x4_2,6,1006,66.562,40,113
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,2,AA2_x4_2,7,922,71.538,39,138
ARK,4/28/20,10/19/17,Week3,AA,cold,low,2,2,AA2_x4_2,8,1015,74.584,41,137
