Plot Title: temp1,,,,,,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 10697828, SEN S/N: 10697828)",Coupler Detached (LGR S/N: 10697828),Coupler Attached (LGR S/N: 10697828),Host Connected (LGR S/N: 10697828),Stopped (LGR S/N: 10697828),End Of File (LGR S/N: 10697828)
1,10/12/2017 15:30,13.209,Logged,,,,
2,10/12/2017 15:40,12.944,,,,,
3,10/12/2017 15:50,12.437,,,,,
4,10/12/2017 16:00,12.122,,,,,
5,10/12/2017 16:10,12.268,,,11.31307631,0.521039002,
6,10/12/2017 16:20,11.953,,,,,
7,10/12/2017 16:30,12.219,,,,,
8,10/12/2017 16:40,11.904,,,,,
9,10/12/2017 16:50,12.195,,,,,
10,10/12/2017 17:00,11.88,,,,,
11,10/12/2017 17:10,12.195,,,,,
12,10/12/2017 17:20,11.856,,,,,
13,10/12/2017 17:30,12.195,,,,,
14,10/12/2017 17:40,11.856,,,,,
15,10/12/2017 17:50,12.195,,,,,
16,10/12/2017 18:00,11.88,,,,,
17,10/12/2017 18:10,12.195,,,,,
18,10/12/2017 18:20,11.856,,,,,
19,10/12/2017 18:30,11.856,,,,,
20,10/12/2017 18:40,11.297,,,,,
21,10/12/2017 18:50,11.467,,,,,
22,10/12/2017 19:00,11.078,,,,,
23,10/12/2017 19:10,11.273,,,,,
24,10/12/2017 19:20,11.053,,,,,
25,10/12/2017 19:30,11.151,,,,,
26,10/12/2017 19:40,11.394,,,,,
27,10/12/2017 19:50,11.005,,,,,
28,10/12/2017 20:00,11.248,,,,,
29,10/12/2017 20:10,10.932,,,,,
30,10/12/2017 20:20,10.98,,,,,
31,10/12/2017 20:30,11.273,,,,,
32,10/12/2017 20:40,10.883,,,,,
33,10/12/2017 20:50,11.029,,,,,
34,10/12/2017 21:00,11.273,,,,,
35,10/12/2017 21:10,10.883,,,,,
36,10/12/2017 21:20,11.029,,,,,
37,10/12/2017 21:30,11.273,,,,,
38,10/12/2017 21:40,10.883,,,,,
39,10/12/2017 21:50,11.029,,,,,
40,10/12/2017 22:00,11.273,,,,,
41,10/12/2017 22:10,10.858,,,,,
42,10/12/2017 22:20,11.005,,,,,
43,10/12/2017 22:30,11.248,,,,,
44,10/12/2017 22:40,10.858,,,,,
45,10/12/2017 22:50,10.98,,,,,
46,10/12/2017 23:00,11.224,,,,,
47,10/12/2017 23:10,10.883,,,,,
48,10/12/2017 23:20,10.932,,,,,
49,10/12/2017 23:30,11.175,,,,,
50,10/12/2017 23:40,11.053,,,,,
51,10/12/2017 23:50,10.907,,,,,
52,10/13/2017 0:00,11.151,,,,,
53,10/13/2017 0:10,11.321,,,,,
54,10/13/2017 0:20,10.883,,,,,
55,10/13/2017 0:30,11.102,,,,,
56,10/13/2017 0:40,11.346,,,,,
57,10/13/2017 0:50,10.858,,,,,
58,10/13/2017 1:00,11.053,,,,,
59,10/13/2017 1:10,11.321,,,,,
60,10/13/2017 1:20,10.834,,,,,
61,10/13/2017 1:30,11.005,,,,,
62,10/13/2017 1:40,11.248,,,,,
63,10/13/2017 1:50,10.81,,,,,
64,10/13/2017 2:00,10.956,,,,,
65,10/13/2017 2:10,11.2,,,,,
66,10/13/2017 2:20,10.834,,,,,
67,10/13/2017 2:30,10.907,,,,,
68,10/13/2017 2:40,11.151,,,,,
69,10/13/2017 2:50,11.248,,,,,
70,10/13/2017 3:00,10.858,,,,,
71,10/13/2017 3:10,11.078,,,,,
72,10/13/2017 3:20,11.321,,,,,
73,10/13/2017 3:30,10.834,,,,,
74,10/13/2017 3:40,11.005,,,,,
75,10/13/2017 3:50,11.248,,,,,
76,10/13/2017 4:00,10.81,,,,,
77,10/13/2017 4:10,10.956,,,,,
78,10/13/2017 4:20,11.175,,,,,
