Date,Treatment,In_Out,pH_spec,pH_calc,DIC,pH_drift,DIC drift,Alkalinity,Treatment_temp_Nereo,Treatment_temp_Macro,Treatment_pH,flag,S,T,Patm,P,pH,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
9/30/2017,BB,In,,,,,,2062,,20,High,,,,,,,,,,,,,,,,,,,
9/30/2017,AB,In,7.52,7.71,2140,,,2062,,10,High,8,33.9,10,1,0,7.71,3.71E-05,839.3641045,842.6109989,839.3641045,842.6109989,839.3641045,842.6110104,0.001913033,5.85E-05,0.002008609,0.002062,0.890938992,1.403379255
9/30/2017,AA,In,7.32,7.5,2203.7,,,2062,,10,Low,8,33.9,10,1,0,7.5,6.18E-05,1400.066961,1405.486103,1400.066961,1405.486103,1400.066961,1405.486134,0.001967528,3.71E-05,0.002066458,0.002062,0.564997311,0.889966106
9/30/2017,BA,In,7.43,7.54,2168.9,,,2062,,20,Low,8,33.9,20,1,0,7.54,4.34E-05,1332.106165,1336.646357,1332.106165,1336.646357,1332.106165,1336.64638,0.001916139,5.82E-05,0.00201775,0.002062,0.910253384,1.403254874
10/2/2017,BB,In,7.62,7.73,2106.1,,,2089,,20,High,8,33.9,20,1,0,7.73,2.74E-05,838.9638826,841.8217134,838.9638826,841.8217134,838.9638826,841.8217226,0.001869096,8.79E-05,0.001984348,0.002089,1.375202739,2.120025018
10/2/2017,AB,In,7.61,7.81,2109.6,,,2089,,10,High,8,33.9,10,1,0,7.81,2.93E-05,663.2329719,665.7980521,663.2329719,665.7980521,663.2329719,665.7980592,0.001902998,7.33E-05,0.00200556,0.002089,1.115741745,1.757481525
10/2/2017,AA,In,7.25,7.43,2226.4,,,2089,,10,Low,8,33.9,10,1,0,7.43,7.41E-05,1678.108003,1684.605294,1678.108003,1684.605294,1678.108003,1684.60534,0.002007206,3.22E-05,0.002113527,0.002089,0.490588634,0.772759884
10/2/2017,BA,In,7.33,7.45,2200.6,,,2089,,20,Low,8,33.9,20,1,0,7.45,5.49E-05,1682.872672,1688.610647,1682.872672,1688.610647,1682.872672,1688.610684,0.001967612,4.86E-05,0.002071038,0.002089,0.75975702,1.171248315
10/2/2017,BB,Out,7.57,7.7,2123.3,NA,NA,2089,,20,High,8,33.90833333,20,1,0,7.7,2.95E-05,905.2905604,908.3745564,905.2905604,908.3745564,905.2905604,908.3745672,0.001882296,8.26E-05,0.001994438,0.002089,1.292672822,1.992764187
10/2/2017,AB,Out,7.5,7.7,2146.5,-0.01,6.523681641,2089,,10,High,8,33.90833333,10,1,0,7.7,3.85E-05,871.7333722,875.1055984,871.7333722,875.1055984,871.7333722,875.1056107,0.001941629,5.80E-05,0.002038166,0.002089,0.883816131,1.392137866
